Transaction Date,Value Date,Narration,Reference,Debit (NGN),Credit (NGN),Balance (NGN),Channel,Card Type,Terminal ID,PAN (masked)
2025-06-15,2025-06-15,CHARGEBACK/VISA/ZENITH BANK ATM/853450108054,CB853450108054,20654.47,,,CARD,VISA,TRM98569847,411111******1249
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/DOMINOS PIZZA LEKKI/809174117091,809174117091,,208119.72,,CARD,VISA,TRM63982146,539900******3782
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/SLOT SYSTEMS IKEJA/838967038374,838967038374,,163537.14,,CARD,VISA,TRM26247317,411111******3387
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/TANTALIZERS RESTAURANT/597428952800,597428952800,,267696.34,,CARD,MASTERCARD,TRM05152204,506100******6153
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/LAPO AGENT BANKING/193766746282,193766746282,,9271.95,,CARD,VISA,TRM56049451,506100******8516
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/ACCESS BANK POS/863779811221,863779811221,,235907.39,,CARD,MASTERCARD,TRM83473597,506100******9473
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/GTBANK ATM WITHDRAWAL/161157982007,161157982007,,60597.46,,CARD,VISA,TRM48963834,411111******2782
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/LAPO AGENT BANKING/158782859546,158782859546,,38355.89,,CARD,VISA,TRM86774964,411111******9993
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/GTBANK ATM WITHDRAWAL/805882797681,805882797681,,127596.72,,CARD,VISA,TRM96556981,411111******9401
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/INTERSWITCH WEBPAY/449334805176,449334805176,,223310.19,,CARD,VERVE,TRM87603669,506100******1665
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/JUMIA ONLINE/305519951312,305519951312,,17596.07,,CARD,MASTERCARD,TRM69985435,506100******9091
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/SLOT SYSTEMS IKEJA/239284873367,239284873367,,10936.30,,CARD,VISA,TRM32260256,539900******8692
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/ZENITH BANK ATM/963268767101,963268767101,,139164.20,,CARD,VERVE,TRM00978820,411111******9805
2025-06-12,2025-06-12,CARD SETTLEMENT/VERVE/TOTAL FILLING STATION/845942265869,845942265869,,121881.78,,CARD,VERVE,TRM24451076,411111******0343
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/CHICKEN REPUBLIC ABUJA/329159142739,329159142739,,167708.71,,CARD,VERVE,TRM35030564,411111******7648
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/SPAR SUPERMARKET/662945045779,662945045779,,59882.16,,CARD,VISA,TRM31165667,411111******7376
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/SLOT SYSTEMS IKEJA/827087359039,827087359039,,236325.79,,CARD,MASTERCARD,TRM87603859,411111******1680
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/SLOT SYSTEMS IKEJA/241388354666,241388354666,,245190.13,,CARD,MASTERCARD,TRM04653755,411111******6272
2025-06-10,2025-06-10,CARD SETTLEMENT/VERVE/SHOPRITE IKEJA/461777974575,461777974575,,117283.44,,CARD,VERVE,TRM05395024,411111******2102
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/SLOT SYSTEMS IKEJA/857927286531,857927286531,,76370.75,,CARD,VISA,TRM94013990,539900******9065
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/ACCESS BANK POS/925828823896,925828823896,,237825.43,,CARD,VISA,TRM03309232,539900******5310
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/INTERSWITCH WEBPAY/718966589553,718966589553,,236965.38,,CARD,VISA,TRM04966319,539900******2419
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/SPAR SUPERMARKET/681980552757,681980552757,,137225.03,,CARD,MASTERCARD,TRM14124782,506100******5818
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/QUICKTELLER AIRTIME/283955479193,283955479193,,135915.34,,CARD,VISA,TRM16048175,539900******3685
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/KONGA MARKETPLACE/243433808038,243433808038,,168086.71,,CARD,VERVE,TRM38425135,539900******9118
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/DOMINOS PIZZA LEKKI/295143931370,295143931370,,183581.93,,CARD,VERVE,TRM14737996,411111******9453
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/SPAR SUPERMARKET/409248663017,409248663017,,181649.72,,CARD,MASTERCARD,TRM67533963,411111******5588
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/TANTALIZERS RESTAURANT/147368967775,147368967775,,81431.48,,CARD,VISA,TRM22196937,506100******8692
2025-06-10,2025-06-10,CARD SETTLEMENT/VISA/ZENITH BANK ATM/853450108054,853450108054,,20654.47,,CARD,VISA,TRM98569847,411111******1249
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/ZENITH BANK ATM/379989256365,379989256365,,11574.44,,CARD,VERVE,TRM14846564,539900******1595
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/SPAR SUPERMARKET/734648396163,734648396163,,95405.07,,CARD,MASTERCARD,TRM46706562,506100******9373
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/ACCESS BANK POS/390650490584,390650490584,,296434.44,,CARD,VERVE,TRM74612004,539900******5931
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/ACCESS BANK POS/870013412146,870013412146,,214971.88,,CARD,VERVE,TRM21024994,506100******8324
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/TOTAL FILLING STATION/470505451632,470505451632,,156003.22,,CARD,VISA,TRM34316117,539900******8091
