Settlement Date,Transaction Date,RRN,STAN,Terminal ID,Merchant Name,Card Type,PAN,Transaction Amount (NGN),Settlement Amount (NGN),Interchange Fee (NGN),Scheme Fee (NGN),Net Settlement (NGN),Response Code,Transaction Type,Batch Number
2025-06-16,2025-06-15,470505451632,139434,TRM34316117,TOTAL FILLING STATION,VISA,539900******8091,156003.22,156003.22,0.00,0.00,156003.22,00,PURCHASE,1932
2025-06-16,2025-06-15,681980552757,196168,TRM14124782,SPAR SUPERMARKET,MASTERCARD,506100******5818,137225.03,137225.03,2058.38,0.00,135166.65,00,PURCHASE,4637
2025-06-16,2025-06-15,354017756402,180458,TRM94647436,SPAR SUPERMARKET,MASTERCARD,539900******2175,115556.90,115556.90,0.00,0.00,115556.90,00,PURCHASE,2479
2025-06-16,2025-06-15,857927286531,171603,TRM94013990,SLOT SYSTEMS IKEJA,VISA,539900******9065,76370.75,76370.75,0.00,0.00,76370.75,00,PURCHASE,8682
2025-06-16,2025-06-15,329159142739,175576,TRM35030564,CHICKEN REPUBLIC ABUJA,VERVE,411111******7648,167708.71,167708.71,0.00,0.00,167708.71,00,PURCHASE,7505
2025-06-16,2025-06-15,446680801999,878086,TRM69653287,CHICKEN REPUBLIC ABUJA,VERVE,539900******8849,53550.32,53550.32,0.00,0.00,53550.32,00,PURCHASE,1693
2025-06-16,2025-06-12,845942265869,117233,TRM24451076,TOTAL FILLING STATION,VERVE,411111******0343,121881.78,121881.78,0.00,0.00,121881.78,00,PURCHASE,9443
2025-06-16,2025-06-15,662945045779,843963,TRM31165667,SPAR SUPERMARKET,VISA,411111******7376,59882.16,59882.16,0.00,0.00,59882.16,00,PURCHASE,7843
2025-06-16,2025-06-15,223005401501,498676,TRM13389083,INTERSWITCH WEBPAY,VISA,539900******9600,6740.18,6740.18,0.00,0.00,6740.18,00,PURCHASE,9725
2025-06-16,2025-06-15,199002427407,985506,TRM01128059,ZENITH BANK ATM,VERVE,539900******7868,158753.97,158753.97,0.00,0.00,158753.97,00,PURCHASE,2734
2025-06-16,2025-06-15,838967038374,403578,TRM26247317,SLOT SYSTEMS IKEJA,VISA,411111******3387,163537.14,163537.14,0.00,0.00,163537.14,00,PURCHASE,2887
